,,,,,
,,,,,
,,,,,
GAUSS,,,,,
liczba agentów,błąd bezwgledny(max),błąd bezwzględny(średnia),czas wykonania(generowanie),czas wykonania(obliczanie),ilość wykonań
23,1.66533453693773E-16,1.68182224047625E-18,0.001617587647059,0.012407684882353,17
24,1.66533453693773E-16,4.90152360658364E-19,0.0017183313125,0.015580857625,16
25,2.22044604925031E-16,9.11953264149549E-19,0.0019852475,0.017712167375,16
26,2.77555756156289E-16,3.74857642297787E-19,0.002534024466667,0.021885603666667,15
27,2.22044604925031E-16,3.30009226462093E-19,0.003062373928571,0.027162329571429,14
28,2.77555756156289E-16,6.02974838834778E-19,0.003393061214286,0.027508580142857,14
29,3.33066907387547E-16,1.09600833979263E-18,0.005121407769231,0.042108471384615,13
30,2.77555756156289E-16,4.53087655077593E-18,0.006132587153846,0.057064100384615,13
31,2.77555756156289E-16,5.32091008621242E-18,0.0057605295,0.062886204833333,12
32,3.88578058618805E-16,3.20780666997167E-19,0.0075047455,0.071975308416667,12
33,2.77555756156289E-16,1.71812347969945E-18,0.006553514333333,0.065410700416667,12
34,2.22044604925031E-16,5.6684917530629E-18,0.008557652363636,0.086356266545455,11
35,2.35922392732846E-16,2.45404388658772E-19,0.007665840545455,0.080897045727273,11
36,3.33066907387547E-16,8.49302680501827E-19,0.010889583363636,0.093246813909091,11
37,2.77555756156289E-16,5.974282616227E-19,0.0116585411,0.1070424563,10
38,2.77555756156289E-16,3.99648458741768E-19,0.0119002053,0.1221241773,10
39,3.33066907387547E-16,7.07209850214345E-19,0.0136422025,0.1576019024,10
40,2.77555756156289E-16,2.15051978284676E-18,0.0318325075,0.2045937845,2
41,2.77555756156289E-16,2.12679500247329E-18,0.018317964,0.225082062,2
42,3.33066907387547E-16,1.27390679192424E-18,0.020959887,0.2563078485,2
43,2.77555756156289E-16,7.19915580507913E-19,0.022405152,0.310990949,2
44,3.33066907387547E-16,5.34792952529538E-19,0.0223792675,0.3130841785,2
45,3.33066907387547E-16,7.87162377960582E-19,0.019453183,0.305785608,2
46,3.05311331771918E-16,1.15424101471535E-18,0.021298946,0.323769349,2
47,3.05311331771918E-16,4.22641543497704E-19,0.02420199,0.391202974,2
48,3.33066907387547E-16,5.93245306847357E-20,0.0458197985,0.403452591,2
49,3.88578058618805E-16,7.88991310073225E-19,0.0290261745,0.479842247,2
50,4.9960036108132E-16,1.33252294869226E-18,0.0322221975,0.540027933,2
51,3.88578058618805E-16,4.81530302773693E-19,0.03298138,0.607324455,1
