

GAUSS,Preparation
Współczynniki wielomianu:
2.3350439175615983E-11 x^3,-3.73562735299031E-8 x^2,3.927924861861045E-5 x^1,-0.006632202623758287 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,-0.0019224294445094152,5.65176901979244,0.002335697909974881
153,-0.0014133191962811048,4.407508372049645,0.0018280853661528991
171,-8.910287814430512E-4,2.7882518849408555,0.0013892968324634592
190,-3.5754619834625374E-4,1.5885093649861703,9.650916676603331E-4
210,1.852763406865604E-4,0.7572750357960902,5.780416859294098E-4
231,7.357623386119276E-4,0.2044725237192444,1.8911123338807227E-4
253,0.0012924530444561669,0.0021993716617345286,2.848850280675252E-6
276,0.0018541515856454142,0.49191149598870154,6.113489189787475E-4
300,0.0024199692018752,0.6091539900908021,9.160924959928469E-4
325,0.002989373580519537,0.6126597555800258,0.0011356821430195368
351,0.0035622392935795357,0.7093109079703106,0.0014782186060795358
378,0.004138900336171562,0.6535754470740288,0.0016358997361715622
406,0.004720204766554895,0.7506007755070981,0.0020238705522691797
435,0.005307571447698927,0.5084227599038024,0.0017889481619846421
465,0.00590304889038989,0.3010956819706339,0.0013660659673129663
496,0.006509376197877113,0.07649647600814914,4.625601209540366E-4
528,0.007130046112058764,0.2638800951399702,0.001488651695392097
561,0.007769370161207189,0.03211188643907442,2.4172682787385567E-4
595,0.008432545909233717,0.10240945598742306,7.833499925670511E-4
630,0.009125726306493004,0.04332336771078601,4.132610571433593E-4
666,0.009856091142126934,0.20231465792055925,0.0016584940512178441
703,0.010631920597947998,0.21199787554133884,0.0018596935070389065
741,0.011462670903862255,0.24823114849647296,0.0022795393038622536
780,0.012359052094831733,0.12548323859653532,0.001377944894831732
820,0.013333107869376469,0.05915900273074374,7.447166693764704E-4
861,0.014398297549615977,0.055281828669932295,8.425414503840222E-4
903,0.01556958014285031,0.16997653572607357,0.0031884198571496877
946,0.016863500504680565,0.20142164300569548,0.0042534009953194354
990,0.01829827760366904,0.1901581049283876,0.0042965988963309595
1035,0.019893894887538788,0.33590300168359233,0.010062414112461213
1081,0.021672192750912755,0.0883367739062609,0.0017590617509127549
1128,0.02365696310459249,0.21909342158405146,0.006637266395407508
1176,0.025874046046376276,0.2972712778756785,0.01094534845362373
1225,0.028351428633416872,0.03218401036460296,8.840116334168716E-4
1275,0.031119345756118737,0.08536586365466439,0.0024475892561187373
1326,0.03421038311357482,0.11488739009267013,0.0035253261135748185
1378,0.037659582290542816,0.1305528416845766,0.004348815290542818
1431,0.041504547935961,0.1920901318982466,0.006687928935960999
1485,0.04578555704300358,0.1989915825190536,0.007598836043003578
1540,0.05054567033067554,0.23282480577627873,0.009545789330675541
1596,0.05583084572694706,0.30014332627530677,0.012888775726947063
1653,0.06169005395342739,0.2287749961263921,0.01148553795342739
1711,0.06817539621157837,0.021222111104191203,0.0014167592115783695
1770,0.07534222397046732,0.4653361069856324,0.06557289102953269
1830,0.08324926085605959,0.15555787471878,0.011206775856059586
1891,0.0919587266420506,0.24090099568638712,0.017852309642050604
Blad aproksymacji = 0.0056371667465691345
Czas wykonania dla 100000:,22980.797732976189286713000000000

LIBRARY_SPARSE,Preparation
