

GAUSS,Execution
Współczynniki wielomianu:
2.1592223868228134E-8 x^3,-3.716638790505861E-5 x^2,0.023672650455756852 x^1,-3.8108135102259824 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,-1.2244482698523371,77.91995597595476,1.2403667432096945
153,-0.981591752579404,62.79766444718395,0.9974757145601733
171,-0.7416069557230021,34.366152618181914,0.7638332808318455
190,-0.506615463492619,17.940471288081714,0.5365210933229438
210,-0.2786290358864667,7.82209829235339,0.3194711674339952
231,-0.059512685988669656,2.1070960038481448,0.11326835467666968
253,0.14905418603370268,1.0665129794227644,0.07692582898107109
276,0.34561860223374063,2.688831112083129,0.2519253450115184
300,0.5289967594879577,3.4978196493357383,0.41138493848795765
325,0.6983187253996976,3.628478833708282,0.5474443775871977
351,0.853075077502687,3.4786711096018226,0.6626000333151869
378,0.993165485764743,3.085822482673264,0.7500894612980763
406,1.1189492383916195,2.7639581641849444,0.8216693033916196
435,1.231297710931011,2.3715758159701337,0.8660982380024396
465,1.3316487786767035,1.4028407506776432,0.7774510948305496
496,1.42206317237286,1.122716392514172,0.7521370449882449
528,1.5052827772184751,0.7735170444379494,0.6565270339684751
561,1.5847908751719655,0.5479222591233937,0.560972743588632
595,1.6648743305559015,0.3894480110255611,0.4666471803892347
630,1.7506877189619146,0.1355193195967598,0.20893700741646026
666,1.8483193994557054,0.3482329024950804,0.47739943745570534
703,1.9648595300822644,0.361912748559361,0.5221389650822643
741,2.108470026671174,0.2278459043487478,0.39125940667117387
780,2.288456464942104,0.15573618428050678,0.30837096094210414
820,2.515341925910437,0.08145521242603608,0.189455567410437
861,2.8009427845930577,0.028404784068127846,0.08188613290694224
903,3.1584464420142555,0.27468414076830505,1.1961342579857441
946,3.60249100051182,0.3606098908188486,2.03177038198818
990,4.149246882343254,0.2954406995936608,1.739891022656746
1035,4.816500391592127,0.28555844095279237,1.9251292499078723
1081,5.623739219374643,0.02003674945389742,0.11498538712535655
1128,6.592239892346248,0.0845122140971894,0.6085551306537518
1176,7.7451571645084645,0.18965485891450098,1.8126926599915354
1225,9.107615352315898,0.12036584226260175,1.2462519596841002
1275,10.70680161308327,0.07749964336286862,0.8994829114167313
1326,12.572061166692718,0.04571335054883419,0.6022415168072826
1378,14.734994460601245,0.002222556787201391,0.03282231139875513
1431,17.22955627814818,0.042607721586454414,0.7041115481481803
1485,20.092156790162953,0.07741619360079192,1.4436930771629513
1540,23.36176454987293,0.10003769101209072,2.12452446187293
1596,27.080011431111394,0.16239265870310915,3.783226796111393
1653,31.29129950982575,0.019489013211067767,0.6219578951742513
1711,36.04290988888569,0.11878892894692794,3.8269047458856917
1770,41.38511346619183,0.04160686812474188,1.6531236601918309
1830,47.371283646084116,0.06566727427389805,3.329373990915883
1891,54.05801099405069,0.05292509375266495,3.020907090949308
Blad aproksymacji = 87.52296395468811
Czas wykonania dla 100000:,21222923.443409613359217600000000

LIBRARY_SPARSE,Execution
Współczynniki wielomianu:
1.583603905695412E-4 x^1,-0.06429601760699291 x^0,
x,f(x),blad wzgledny,blad bezwzgledny
136,-0.042759004489535304,39.624068843187494,0.04386606042046624
153,-0.040066877849853105,36.129912586487976,0.04120741236587874
171,-0.03721639081960137,26.76458322190615,0.03866086948626803
190,-0.034207543398780085,17.774589278913595,0.0362467911460725
210,-0.031040335587389258,15.290708600475835,0.033212399720469105
231,-0.0277147673854289,9.835995261208124,0.0308513430134289
253,-0.024230838792898987,8.170574233434657,0.02761004358237267
276,-0.020588549809799545,6.794642109619576,0.024141581976466212
300,-0.01678790043613055,5.106486977575362,0.020876042083189373
325,-0.012828890671892024,3.371594688608992,0.01823828492189202
351,-0.008711520517083952,2.4135938749954815,0.014874196142083951
378,-0.004435789971706343,1.424932019795637,0.014874612571706344
406,-1.6990357591811778E-6,1.000207521966178,0.00818895646433061
435,0.004590752290757505,0.47453310178910996,0.0041457681378139245
465,0.00934156400784375,0.26506312459307846,0.00336913853061779
496,0.014250736115499527,0.07517793268234262,0.0011584291921927815
528,0.019318268613724834,0.17891107737535364,0.0029317327803915043
561,0.0245441615025197,0.34228923117503285,0.006258861335853034
595,0.0299284147818841,0.23765941707967825,0.005746952281884099
630,0.03547102845181804,0.581320624707484,0.01303975936090895
666,0.04117200251232152,0.993479756693193,0.020518668875957883
703,0.04703133696339455,1.0509879537699298,0.024100272508849097
741,0.05304903180503712,0.9684565867302038,0.02609947540503712
780,0.05922508703724923,0.9815645753522799,0.029337044137249225
820,0.06555950266003086,0.9449326432180999,0.031851650160030845
861,0.07205227867338207,0.5149663411803003,0.024491962173382065
903,0.07870341507730277,0.5452866272810966,0.027772142077302775
946,0.08551291187179305,0.42670454662864776,0.025575546371793052
990,0.09248076905685287,0.46547449411981834,0.029374403556852863
1035,0.09960698663248221,0.21862038337276343,0.01786948413248221
1081,0.10689156459868113,0.778273643788091,0.046781825598681125
1128,0.11433450295544956,0.6110875170604081,0.04336722045544955
1176,0.12193580170278753,0.7147883714639849,0.05082743420278754
1225,0.12969546084069505,0.6321473768245617,0.05023237884069505
1275,0.13761348036917212,0.603664466142252,0.05180158936917212
1326,0.1456898602882187,0.4180512588131519,0.04295037228821871
1378,0.15392460059783486,0.5198609396239153,0.05264915059783486
1431,0.16231770129802053,0.5070655542599474,0.05461322829802054
1485,0.17086916238877575,0.27393443841214227,0.036742038388775766
1540,0.17957898387010052,0.40026408882266207,0.05133247287010051
1596,0.18844716574199485,0.33328897985023614,0.047107089741994845
1653,0.1974737080044587,0.09629933614239126,0.01734616300445871
