

GAUSS
x,f(x),blad bezwzgledny,blad wzgledny
136,-179.56293425286628,1.898112804300283,379.4965432528663
153,-92.03879560268501,1.3066022730041917,392.22833660268503
171,-5.56403127637941,1.0136314903659,413.7388622763794
190,79.28985551651431,0.8726712095214861,543.4275614834856
210,162.05599635699446,0.9906600330779374,80.64782335699445
231,242.39427409802965,0.5586536288229658,306.82123990197033
253,320.11460337133053,2.519283025258554,229.15442737133054
276,395.20137511946155,2.3741679240304427,278.07579511946153
300,467.83906515329,2.2556804158684227,324.13974415329
325,538.4390067347761,1.863348908603738,350.393810734776
351,607.6673271850977,1.2541640442783086,338.09185918509775
378,676.4740485181196,1.4494090492256746,400.2955765181196
406,746.1233520991952,0.9799905674598632,369.29158109919524
435,818.225007329311,0.7511206253336522,350.967072329311
465,894.7669643545655,0.556841623037328,320.0347943545655
496,978.1491108009955,0.35869822937074364,258.23273080099545
528,1071.2181925347286,0.28918384868574754,240.29078553472857
561,1177.3038984474856,0.20798626022270694,202.70349344748558
595,1300.256109267411,0.11790243725832321,137.13483326741084
630,1444.4833103952587,0.04358578281430578,60.32943039525867
666,1614.9921687658912,0.0016530815372250733,2.665307765891157
703,1817.4282737351436,0.030644002207769857,57.45389326485633
741,2058.118041992009,0.07352229478152401,163.3256370079912
780,2344.1117864961675,0.10038038808597902,261.55816050383237
820,2683.2279494408563,0.10080950512278189,300.82044155914355
861,3084.0984992410754,0.1033757139499508,355.57913075892475
903,3556.2154915471333,0.10569289653721506,420.2881924528665
946,4109.978794283532,0.08634141409229684,388.39604471646817
990,4756.744976713186,0.0862731906888299,449.1272032868146
1035,5508.877362526988,0.0630822451489668,370.9102004730121
1081,6379.797246958702,0.058659272591361944,397.5545250412979
1128,7384.0362779252155,0.04297576022094261,331.5846760747845
1176,8537.290001192097,0.013572625336542575,117.46778480790272
1225,9856.472569564536,0.004130505880009225,40.88107743546425
1275,11359.77261610356,0.014786257269243385,165.52108310356016
1326,13066.710291367684,0.029592492188785346,375.56268636768436
1378,14998.195464679777,0.017131713016200218,261.42341132022375
1431,17176.587089419383,0.0347750517727451,577.2430484193828
1485,19625.753732340312,0.014700170192936771,284.32233334031116
1540,22371.135266913585,0.015680697320105925,345.37921391358395
1596,25439.80573069571,0.03455715834288572,849.7620336957079
1653,28860.53734672233,0.047539460661595444,1309.7495907223274
1711,32663.865708927184,0.001000926135949514,32.726874072817736
1770,36882.15613158639,0.03576210553397839,1367.902638413616
1830,41549.671162788065,0.013760568833334241,579.7244482119349
1891,46702.63926192743,0.0017685004156224302,82.44782792742626


GAUSS_SPARSE
x,f(x),blad bezwzgledny,blad wzgledny
136,64.00497243937261,0.9433132927323515,31.06896943937261
153,57.87767490651572,0.9059447284948973,27.510752906515723
171,51.84669677814685,0.12252309759185616,7.239413221853148
190,45.99033782645918,1.471105250603865,27.37909582645918
